RX Date/Time,Packet Cnt(field 1),Status(field 2),IsCameraOn(field 3),IsMotorOn(field 4),IsBuzzerOn(field 5),Accelerometer X(field 6),Accelerometer Y(field 7),Accelerometer Z(field 8),Gyro X(field 9),Gyro Y(field 10),Gyro Z(field 11),Temperature(field 12),Pressure(field 13),Altitude(field 14),Latitude(field 15),Longitude(field 16),Altitude(field 17)
2024/08/08/ 14:21:41::103,132,0,0,0,0,8.22,4.69,0.39,91.91,191.73,258.92,37.57,0.99,67.34,0.00,0.00,0.00
2024/08/08/ 14:21:42::102,133,0,0,0,0,8.22,4.69,0.39,92.83,187.92,259.84,37.57,0.99,67.34,0.00,0.00,0.00
2024/08/08/ 14:21:43::104,134,0,0,0,0,8.23,4.69,0.40,93.77,184.38,260.77,37.63,0.99,67.36,0.00,0.00,0.00
2024/08/08/ 14:21:44::106,135,0,0,0,0,8.22,4.69,0.40,94.64,180.89,261.80,37.63,0.99,67.36,0.00,0.00,0.00
2024/08/08/ 14:21:45::105,136,0,0,0,0,8.22,4.70,0.40,95.56,177.28,262.83,37.63,0.99,67.36,0.00,0.00,0.00
2024/08/08/ 14:21:46::091,137,0,0,0,0,8.23,4.69,0.40,96.56,173.78,263.59,37.63,0.99,67.36,0.00,0.00,0.00
2024/08/08/ 14:21:47::106,138,0,0,0,0,8.22,4.69,0.39,97.49,170.24,264.55,37.68,0.99,67.71,0.00,0.00,0.00
2024/08/08/ 14:21:48::109,139,0,0,0,0,8.24,4.68,0.40,98.41,166.62,265.20,37.69,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:21:49::107,140,0,0,0,0,8.23,4.69,0.42,99.36,163.19,266.12,37.69,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:21:50::112,141,0,0,0,0,8.22,4.70,0.40,101.34,156.02,267.93,37.69,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:21:51::100,142,0,0,0,0,8.19,4.69,0.43,102.28,152.57,268.80,37.69,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:21:52::120,143,0,0,0,0,8.22,4.69,0.41,103.39,149.06,269.84,37.69,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:21:53::110,144,0,0,0,0,8.21,4.68,0.40,104.27,145.51,270.69,37.69,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:21:54::125,145,0,0,0,0,8.22,4.68,0.40,105.04,142.09,271.78,37.78,0.99,66.46,0.00,0.00,0.00
2024/08/08/ 14:21:55::114,146,0,0,0,0,8.22,4.69,0.40,105.98,138.43,272.70,37.79,0.99,67.06,0.00,0.00,0.00
2024/08/08/ 14:21:56::113,147,0,0,0,0,8.22,4.68,0.41,106.91,134.94,273.68,37.81,0.99,67.41,0.00,0.00,0.00
2024/08/08/ 14:21:57::117,148,0,0,0,0,8.22,4.69,0.41,107.99,131.45,274.64,37.82,0.99,67.75,0.00,0.00,0.00
2024/08/08/ 14:21:58::114,149,0,0,0,0,8.22,4.68,0.40,108.93,127.92,275.80,37.82,0.99,68.10,0.00,0.00,0.00
2024/08/08/ 14:21:59::117,150,0,0,0,0,8.22,4.68,0.40,111.03,120.73,277.87,37.85,0.99,67.25,0.00,0.00,0.00
2024/08/08/ 14:22:00::137,151,0,0,0,0,8.22,4.69,0.41,111.99,116.99,278.75,37.86,0.99,67.08,0.00,0.00,0.00
2024/08/08/ 14:22:01::122,152,0,0,0,0,8.22,4.69,0.40,113.12,113.45,279.56,37.88,0.99,67.60,0.00,0.00,0.00
2024/08/08/ 14:22:02::125,153,0,0,0,0,8.23,4.69,0.41,114.14,109.78,280.40,37.89,0.99,67.18,0.00,0.00,0.00
2024/08/08/ 14:22:03::121,154,0,0,0,0,8.23,4.68,0.41,115.18,106.43,281.25,37.90,0.99,67.01,0.00,0.00,0.00
2024/08/08/ 14:22:04::122,155,0,0,0,0,8.22,4.69,0.41,116.35,102.80,282.21,37.90,0.99,66.92,0.00,0.00,0.00
2024/08/08/ 14:22:05::117,156,0,0,0,0,8.23,4.69,0.40,117.26,99.42,283.01,37.92,0.99,66.93,0.00,0.00,0.00
2024/08/08/ 14:22:06::120,157,0,0,0,0,8.21,4.69,0.40,118.33,95.84,283.87,37.93,0.99,66.76,0.00,0.00,0.00
2024/08/08/ 14:22:07::139,158,0,0,0,0,8.22,4.69,0.38,120.25,88.90,285.68,37.95,0.99,66.76,0.00,0.00,0.00
2024/08/08/ 14:22:08::127,159,0,0,0,0,8.23,4.68,0.38,121.22,85.22,286.62,37.95,0.99,67.45,0.00,0.00,0.00
2024/08/08/ 14:22:09::125,160,0,0,0,0,8.22,4.69,0.40,122.22,81.47,287.80,37.97,0.99,66.60,0.00,0.00,0.00
2024/08/08/ 14:22:10::128,161,0,0,0,0,8.23,4.69,0.40,123.19,77.96,288.63,37.98,0.99,66.78,0.00,0.00,0.00
2024/08/08/ 14:22:11::143,162,0,0,0,0,8.22,4.68,0.40,124.21,74.42,289.73,37.99,0.99,68.06,0.00,0.00,0.00
2024/08/08/ 14:22:12::114,163,0,0,0,0,8.22,4.68,0.40,125.18,70.83,290.73,38.00,0.99,67.46,0.00,0.00,0.00
2024/08/08/ 14:22:13::114,164,0,0,0,0,8.23,4.70,0.40,126.23,67.36,291.54,38.00,0.99,67.46,0.00,0.00,0.00
2024/08/08/ 14:22:14::119,165,0,0,0,0,8.22,4.70,0.42,127.21,64.01,292.52,38.04,0.99,67.13,0.00,0.00,0.00
2024/08/08/ 14:22:15::106,166,0,0,0,0,8.21,4.70,0.41,128.36,60.44,293.42,38.04,0.99,67.13,0.00,0.00,0.00
2024/08/08/ 14:22:16::128,167,0,0,0,0,8.21,4.68,0.42,130.35,53.56,295.15,38.06,0.99,66.63,0.00,0.00,0.00
2024/08/08/ 14:22:17::116,168,0,0,0,0,8.24,4.72,0.40,131.35,49.91,296.17,38.06,0.99,66.63,0.00,0.00,0.00
2024/08/08/ 14:22:18::126,169,0,0,0,0,8.22,4.74,0.39,132.38,46.19,296.89,38.08,0.99,67.32,0.00,0.00,0.00
2024/08/08/ 14:22:19::116,170,0,0,0,0,8.20,4.71,0.40,133.49,42.59,297.71,38.10,0.99,66.90,0.00,0.00,0.00
2024/08/08/ 14:22:20::123,171,0,0,0,0,8.22,4.67,0.41,134.22,39.10,298.57,38.11,0.99,67.15,0.00,0.00,0.00
2024/08/08/ 14:22:21::117,172,0,0,0,0,8.22,4.68,0.39,135.30,35.62,299.39,38.13,0.99,68.02,0.00,0.00,0.00
2024/08/08/ 14:22:22::115,173,0,0,0,0,8.23,4.68,0.40,136.24,32.06,300.44,38.14,0.99,66.82,0.00,0.00,0.00
2024/08/08/ 14:22:23::129,174,0,0,0,0,8.23,4.67,0.40,137.11,28.42,301.42,38.14,0.99,67.17,0.00,0.00,0.00
2024/08/08/ 14:22:24::119,175,0,0,0,0,8.22,4.70,0.41,138.24,24.82,302.48,38.16,0.99,66.40,0.00,0.00,0.00
2024/08/08/ 14:22:25::133,176,0,0,0,0,8.31,4.76,0.37,140.69,17.48,304.00,38.18,0.99,65.47,0.00,0.00,0.00
2024/08/08/ 14:22:26::130,177,0,0,0,0,8.30,4.62,0.39,141.68,13.68,304.87,38.19,0.99,66.67,0.00,0.00,0.00
2024/08/08/ 14:22:27::135,178,0,0,0,0,8.22,4.68,0.40,142.37,10.09,306.13,38.20,0.99,67.18,0.00,0.00,0.00
2024/08/08/ 14:22:28::113,179,0,0,0,0,8.23,4.68,0.40,143.16,6.66,307.19,38.21,0.99,67.19,0.00,0.00,0.00
2024/08/08/ 14:22:29::119,180,0,0,0,0,8.22,4.69,0.40,144.22,3.23,308.02,38.23,0.99,66.94,0.00,0.00,0.00
2024/08/08/ 14:22:30::136,181,0,0,0,0,8.22,4.73,0.46,144.97,0.51,308.70,38.23,0.99,67.88,0.00,0.00,0.00
2024/08/08/ 14:22:31::134,182,0,0,0,0,9.29,3.71,0.43,147.11,356.88,297.72,38.24,0.99,67.37,0.00,0.00,0.00
2024/08/08/ 14:22:32::125,183,0,0,0,0,9.10,-1.13,2.45,130.53,355.76,270.42,38.26,0.99,66.69,0.00,0.00,0.00
2024/08/08/ 14:22:33::119,184,0,0,0,0,7.51,-2.40,5.38,116.19,349.72,265.99,38.27,0.99,67.38,0.00,0.00,0.00
2024/08/08/ 14:22:34::116,185,0,0,0,0,7.38,-3.07,5.93,110.83,1.60,278.90,38.27,0.99,67.38,0.00,0.00,0.00
2024/08/08/ 14:22:35::132,186,0,0,0,0,7.51,-2.76,6.11,113.26,4.79,278.03,38.28,0.99,66.53,0.00,0.00,0.00
2024/08/08/ 14:22:36::158,187,0,0,0,0,7.27,-3.53,5.65,98.82,23.77,302.79,38.30,0.99,66.87,0.00,0.00,0.00
2024/08/08/ 14:22:37::137,188,0,0,0,0,6.83,-1.99,7.81,85.93,35.27,323.87,38.33,0.99,67.40,0.00,0.00,0.00
2024/08/08/ 14:22:38::145,189,0,0,0,0,5.41,-2.29,6.74,83.96,46.68,336.66,38.32,0.99,67.91,0.00,0.00,0.00
2024/08/08/ 14:22:39::118,190,0,0,0,0,5.67,-0.84,7.28,65.90,56.51,4.34,38.34,0.99,67.91,0.00,0.00,0.00
2024/08/08/ 14:22:40::129,191,0,0,0,0,5.23,-0.07,9.56,65.64,53.93,12.35,38.35,0.99,68.26,0.00,0.00,0.00
2024/08/08/ 14:22:41::126,192,0,0,0,0,3.59,-0.17,8.97,62.92,54.20,26.90,38.35,0.99,67.23,0.00,0.00,0.00
2024/08/08/ 14:22:42::122,193,0,0,0,0,3.79,-0.57,8.75,59.57,49.52,23.74,38.37,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:22:43::125,194,0,0,0,0,3.34,-0.47,9.95,59.21,46.00,26.31,38.38,0.99,68.18,0.00,0.00,0.00
2024/08/08/ 14:22:44::143,195,0,0,0,0,3.08,-0.63,8.87,63.25,40.03,26.62,38.39,0.99,67.93,0.00,0.00,0.00
2024/08/08/ 14:22:45::138,196,0,0,0,0,3.32,-0.20,9.07,67.00,35.00,34.36,38.42,0.99,67.08,0.00,0.00,0.00
2024/08/08/ 14:22:46::127,197,0,0,0,0,4.42,0.73,9.25,69.89,35.82,46.47,38.42,0.99,66.66,0.00,0.00,0.00
2024/08/08/ 14:22:47::127,198,0,0,0,0,5.70,0.37,10.64,69.20,29.70,38.39,38.43,0.99,67.09,0.00,0.00,0.00
2024/08/08/ 14:22:48::135,199,0,0,0,0,4.08,-0.33,8.51,71.95,19.92,38.62,38.44,0.99,67.26,0.00,0.00,0.00
2024/08/08/ 14:22:49::144,200,0,0,0,0,5.10,1.29,9.06,78.64,11.31,33.01,38.45,0.99,67.44,0.00,0.00,0.00
2024/08/08/ 14:22:50::123,201,0,0,0,0,5.73,1.22,6.18,83.88,9.78,40.25,38.46,0.99,67.61,0.00,0.00,0.00
2024/08/08/ 14:22:51::118,202,0,0,0,0,6.32,2.00,8.30,84.27,6.04,42.27,38.46,0.99,67.61,0.00,0.00,0.00
2024/08/08/ 14:22:52::133,203,0,0,0,0,6.62,1.92,8.25,91.00,352.20,32.54,38.49,0.99,67.45,0.00,0.00,0.00
2024/08/08/ 14:22:53::145,204,0,0,0,0,6.82,0.69,5.89,91.66,340.67,23.42,38.50,0.99,67.28,0.00,0.00,0.00
2024/08/08/ 14:22:54::137,205,0,0,0,0,8.56,0.97,6.46,97.64,335.33,22.17,38.50,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:22:55::146,206,0,0,0,0,6.56,-0.11,6.28,99.83,332.64,22.18,38.50,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:22:56::141,207,0,0,0,0,7.13,1.29,6.71,102.72,326.57,17.58,38.50,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:22:57::117,208,0,0,0,0,8.37,0.57,6.22,101.77,320.52,17.50,38.55,0.99,67.73,0.00,0.00,0.00
2024/08/08/ 14:22:58::150,209,0,0,0,0,7.10,0.45,4.76,102.68,316.51,20.13,38.56,0.99,67.82,0.00,0.00,0.00
2024/08/08/ 14:22:59::151,210,0,0,0,0,8.72,0.71,6.31,103.10,315.48,24.33,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:00::137,211,0,0,0,0,7.01,-0.12,5.94,107.25,313.64,25.74,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:01::158,212,0,0,0,0,8.57,0.52,6.76,107.88,297.83,19.23,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:02::141,213,0,0,0,0,7.33,0.12,4.29,107.94,291.56,19.29,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:03::137,214,0,0,0,0,8.80,0.62,6.43,108.24,292.42,21.71,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:04::170,215,0,0,0,0,5.85,-0.20,6.93,104.79,292.79,25.77,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:05::162,216,0,0,0,0,6.61,-0.89,6.96,106.54,289.98,12.51,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:06::156,217,0,0,0,0,7.21,-3.61,6.93,110.09,282.33,357.05,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:07::153,218,0,0,0,0,6.74,-0.62,5.35,110.66,276.50,24.28,38.56,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:23:08::155,219,0,0,0,0,8.80,0.98,6.18,113.37,274.17,32.64,38.66,0.99,67.60,0.00,0.00,0.00
2024/08/08/ 14:23:09::151,220,0,0,0,0,6.35,0.93,5.86,117.14,266.07,30.14,38.67,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:23:10::150,221,0,0,0,0,8.20,0.93,6.92,116.68,264.30,31.47,38.67,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:23:11::141,222,0,0,0,0,6.97,0.07,4.80,118.71,258.46,30.54,38.67,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:23:12::167,223,0,0,0,0,8.10,-0.21,4.92,118.39,255.20,29.13,38.67,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:23:13::163,224,0,0,0,0,8.32,-0.78,6.56,121.86,253.83,30.07,38.67,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:23:14::157,225,0,0,0,0,6.45,-0.33,5.84,121.55,250.84,34.77,38.74,0.99,67.88,0.00,0.00,0.00
2024/08/08/ 14:23:15::160,226,0,0,0,0,8.08,1.09,6.93,122.13,246.51,37.45,38.74,0.99,67.03,0.00,0.00,0.00
2024/08/08/ 14:23:16::147,227,0,0,0,0,8.36,0.70,6.46,121.86,240.58,36.50,38.75,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:23:17::161,228,0,0,0,0,6.75,0.20,4.83,122.34,237.60,37.86,38.77,0.99,66.18,0.00,0.00,0.00
2024/08/08/ 14:23:18::191,229,0,0,0,0,8.18,-0.85,6.96,126.06,235.07,40.03,38.78,0.99,68.07,0.00,0.00,0.00
2024/08/08/ 14:23:19::147,230,0,0,0,0,6.22,-0.34,5.69,127.20,233.90,43.01,38.78,0.99,67.64,0.00,0.00,0.00
2024/08/08/ 14:23:20::167,231,0,0,0,0,8.05,0.18,6.95,127.61,230.04,40.16,38.80,0.99,67.31,0.00,0.00,0.00
2024/08/08/ 14:23:21::186,232,0,0,0,0,8.00,-1.05,6.39,128.19,224.49,33.42,38.81,0.99,67.22,0.00,0.00,0.00
2024/08/08/ 14:23:22::161,233,0,0,0,0,6.41,-1.45,6.26,123.68,218.47,30.28,38.82,0.99,67.31,0.00,0.00,0.00
2024/08/08/ 14:23:23::171,234,0,0,0,0,7.79,-2.98,6.38,127.56,219.82,27.58,38.83,0.99,66.72,0.00,0.00,0.00
2024/08/08/ 14:23:24::153,235,0,0,0,0,6.96,-3.72,6.19,129.16,220.80,23.65,38.85,0.99,66.81,0.00,0.00,0.00
2024/08/08/ 14:23:25::199,236,0,0,0,0,7.63,-3.38,5.12,136.80,222.43,30.33,38.85,0.99,67.07,0.00,0.00,0.00
2024/08/08/ 14:23:26::148,237,0,0,0,0,6.55,-5.67,3.54,152.09,207.92,9.53,38.86,0.99,66.56,0.00,0.00,0.00
2024/08/08/ 14:23:27::176,238,0,0,0,0,6.94,-6.08,2.67,166.93,202.70,7.39,38.87,0.99,67.07,0.00,0.00,0.00
2024/08/08/ 14:23:28::198,239,0,0,0,0,8.13,-5.33,0.41,179.37,198.48,14.28,38.89,0.99,67.42,0.00,0.00,0.00
2024/08/08/ 14:23:29::168,240,0,0,0,0,7.80,-5.59,1.00,181.12,194.04,13.92,38.90,0.99,67.43,0.00,0.00,0.00
2024/08/08/ 14:23:30::186,241,0,0,0,0,8.08,-4.99,0.10,181.81,191.24,17.99,38.90,0.99,67.43,0.00,0.00,0.00
2024/08/08/ 14:23:31::167,242,0,0,0,0,8.02,-5.38,0.61,182.39,188.07,18.06,38.92,0.99,66.75,0.00,0.00,0.00
2024/08/08/ 14:23:32::195,243,0,0,0,0,7.78,-5.61,0.10,183.74,184.00,16.81,38.93,0.99,67.35,0.00,0.00,0.00
2024/08/08/ 14:23:33::195,244,0,0,0,0,7.64,-5.86,0.71,184.67,180.43,14.95,38.93,0.99,67.53,0.00,0.00,0.00
2024/08/08/ 14:23:34::205,245,0,0,0,0,7.52,-5.97,0.43,185.55,176.76,14.40,38.93,0.99,67.53,0.00,0.00,0.00
2024/08/08/ 14:23:35::201,246,0,0,0,0,7.50,-6.00,0.42,186.31,173.39,17.04,38.93,0.99,67.53,0.00,0.00,0.00
2024/08/08/ 14:23:36::187,247,0,0,0,0,7.41,-6.16,0.40,187.12,169.87,16.60,38.93,0.99,67.53,0.00,0.00,0.00
2024/08/08/ 14:23:37::195,248,0,0,0,0,7.59,-5.93,0.43,188.77,162.57,19.23,38.93,0.99,67.53,0.00,0.00,0.00
2024/08/08/ 14:23:38::191,249,0,0,0,0,7.41,-6.13,0.43,189.57,159.19,20.94,38.99,0.99,66.78,0.00,0.00,0.00
2024/08/08/ 14:23:39::187,250,0,0,0,0,7.96,-5.35,0.46,191.16,154.84,25.16,39.01,0.99,66.87,0.00,0.00,0.00
2024/08/08/ 14:23:40::197,251,0,0,0,0,7.92,-5.45,0.41,192.33,151.08,26.16,39.02,0.99,67.30,0.00,0.00,0.00
2024/08/08/ 14:23:41::195,252,0,0,0,0,7.93,-5.44,0.42,193.22,147.54,26.75,39.02,0.99,67.30,0.00,0.00,0.00
2024/08/08/ 14:23:42::191,253,0,0,0,0,7.91,-5.46,0.42,194.21,144.06,27.76,39.02,0.99,67.30,0.00,0.00,0.00
2024/08/08/ 14:23:43::190,254,0,0,0,0,7.92,-5.44,0.43,195.23,140.53,28.53,39.02,0.99,67.30,0.00,0.00,0.00
2024/08/08/ 14:23:44::181,255,0,0,0,0,7.92,-5.44,0.43,196.16,137.13,29.42,39.02,0.99,67.30,0.00,0.00,0.00
2024/08/08/ 14:23:45::189,256,0,0,0,0,7.93,-5.43,0.43,198.15,130.09,31.30,39.07,0.99,67.75,0.00,0.00,0.00
2024/08/08/ 14:23:46::188,257,0,0,0,0,7.93,-5.44,0.43,199.03,126.78,31.95,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:47::206,258,0,0,0,0,7.89,-5.42,0.39,200.02,123.12,32.93,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:48::203,259,0,0,0,0,7.93,-5.43,0.42,201.05,119.69,34.12,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:49::195,260,0,0,0,0,7.93,-5.43,0.43,202.07,116.25,35.16,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:50::196,261,0,0,0,0,7.94,-5.44,0.42,203.11,112.65,36.05,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:51::198,262,0,0,0,0,7.93,-5.44,0.43,204.25,109.08,36.97,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:52::212,263,0,0,0,0,7.93,-5.43,0.43,205.30,105.71,38.12,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:53::192,264,0,0,0,0,7.94,-5.44,0.42,206.27,102.23,38.99,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:54::217,265,0,0,0,0,7.92,-5.44,0.43,208.22,95.12,40.79,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:55::221,266,0,0,0,0,7.92,-5.43,0.43,209.50,91.79,41.73,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:56::209,267,0,0,0,0,7.93,-5.43,0.43,210.41,88.32,42.58,39.07,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:23:57::214,268,0,0,0,0,7.92,-5.43,0.44,211.34,84.80,43.66,39.19,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:23:58::207,269,0,0,0,0,7.92,-5.43,0.43,212.25,81.36,44.62,39.21,0.99,67.12,0.00,0.00,0.00
2024/08/08/ 14:23:59::217,270,0,0,0,0,8.09,-5.85,0.76,213.05,77.52,45.32,39.21,0.99,66.35,0.00,0.00,0.00
2024/08/08/ 14:24:00::190,271,0,0,0,0,7.40,-5.43,0.41,213.37,73.22,47.17,39.22,0.99,67.90,0.00,0.00,0.00
2024/08/08/ 14:24:01::202,272,0,0,0,0,8.00,-5.15,1.12,212.12,68.30,48.32,39.23,0.99,67.13,0.00,0.00,0.00
2024/08/08/ 14:24:02::220,273,0,0,0,0,8.00,-5.41,1.42,210.68,63.34,49.51,39.23,0.99,67.13,0.00,0.00,0.00
2024/08/08/ 14:24:03::210,274,0,0,0,0,7.93,-4.95,2.21,207.99,53.30,51.78,39.23,0.99,67.13,0.00,0.00,0.00
2024/08/08/ 14:24:04::211,275,0,0,0,0,7.98,-4.63,2.29,206.91,48.62,53.09,39.25,0.99,67.74,0.00,0.00,0.00
2024/08/08/ 14:24:05::215,276,0,0,0,0,7.54,-4.97,2.92,205.70,43.43,54.15,39.26,0.99,67.14,0.00,0.00,0.00
2024/08/08/ 14:24:06::208,277,0,0,0,0,7.32,-5.31,3.31,204.30,38.38,54.82,39.26,0.99,67.14,0.00,0.00,0.00
2024/08/08/ 14:24:07::219,278,0,0,0,0,7.69,-4.64,4.12,202.94,33.29,55.64,39.26,0.99,67.14,0.00,0.00,0.00
2024/08/08/ 14:24:08::231,279,0,0,0,0,7.25,-4.59,4.32,201.39,28.08,56.45,39.26,0.99,67.14,0.00,0.00,0.00
2024/08/08/ 14:24:09::219,280,0,0,0,0,7.34,-4.40,4.35,199.95,22.73,57.48,39.26,0.99,67.14,0.00,0.00,0.00
2024/08/08/ 14:24:10::214,281,0,0,0,0,6.60,-4.93,5.24,198.51,17.45,58.57,39.32,0.99,67.42,0.00,0.00,0.00
2024/08/08/ 14:24:11::231,282,0,0,0,0,6.56,-4.48,5.73,196.81,12.67,59.50,39.32,0.99,67.77,0.00,0.00,0.00
2024/08/08/ 14:24:12::219,283,0,0,0,0,6.16,-4.06,6.55,193.53,2.18,61.66,39.34,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:24:13::218,284,0,0,0,0,5.78,-4.11,6.91,191.80,356.95,62.33,39.34,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:24:14::220,285,0,0,0,0,5.39,-3.69,7.36,190.01,351.64,63.36,39.34,0.99,67.00,0.00,0.00,0.00
2024/08/08/ 14:24:15::232,286,0,0,0,0,5.23,-3.51,7.84,187.87,345.92,64.17,39.36,0.99,67.61,0.00,0.00,0.00
2024/08/08/ 14:24:16::244,287,0,0,0,0,4.47,-3.56,8.10,185.55,340.26,65.33,39.36,0.99,68.64,0.00,0.00,0.00
2024/08/08/ 14:24:17::238,288,0,0,0,0,4.31,-2.71,8.53,183.05,334.76,66.19,39.38,0.99,68.39,0.00,0.00,0.00
2024/08/08/ 14:24:18::216,289,0,0,0,0,3.57,-2.35,8.94,180.34,329.22,67.02,39.38,0.99,67.62,0.00,0.00,0.00
2024/08/08/ 14:24:19::249,290,0,0,0,0,2.90,-2.15,9.09,177.72,323.10,67.58,39.40,0.99,67.28,0.00,0.00,0.00
2024/08/08/ 14:24:20::224,291,0,0,0,0,2.24,-1.76,9.41,174.46,316.80,68.40,39.40,0.99,68.66,0.00,0.00,0.00
2024/08/08/ 14:24:21::224,292,0,0,0,0,0.98,-0.89,10.02,166.42,303.67,70.35,39.42,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:24:22::247,293,0,0,0,0,-0.69,-0.00,10.37,161.02,296.19,71.97,39.44,0.99,67.30,0.00,0.00,0.00
2024/08/08/ 14:24:23::241,294,0,0,0,0,-0.16,0.06,10.26,162.77,292.96,72.80,39.44,0.99,67.47,0.00,0.00,0.00
2024/08/08/ 14:24:24::261,295,0,0,0,0,-0.20,-0.10,10.11,163.43,289.29,73.66,39.45,0.99,67.65,0.00,0.00,0.00
2024/08/08/ 14:24:25::231,296,0,0,0,0,-0.23,-0.04,10.12,164.46,285.78,74.54,39.45,0.99,69.02,0.00,0.00,0.00
2024/08/08/ 14:24:26::248,297,0,0,0,0,-0.29,-0.03,10.10,165.50,282.32,75.28,39.48,0.99,67.83,0.00,0.00,0.00
2024/08/08/ 14:24:27::269,298,0,0,0,0,-0.26,-0.01,10.12,166.38,278.83,76.05,39.48,0.99,68.52,0.00,0.00,0.00
2024/08/08/ 14:24:28::258,299,0,0,0,0,-0.27,0.00,10.13,167.35,275.37,77.01,39.50,0.99,67.76,0.00,0.00,0.00
2024/08/08/ 14:24:29::247,300,0,0,0,0,-0.27,-0.00,10.12,168.21,271.75,77.97,39.51,0.99,68.70,0.00,0.00,0.00
2024/08/08/ 14:24:30::242,301,0,0,0,0,-0.28,-0.01,10.13,170.24,264.70,80.03,39.52,0.99,68.45,0.00,0.00,0.00
2024/08/08/ 14:24:31::257,302,0,0,0,0,-0.27,-0.01,10.13,171.03,261.14,81.00,39.52,0.99,67.76,0.00,0.00,0.00
2024/08/08/ 14:24:32::249,303,0,0,0,0,-0.25,-0.01,10.12,172.14,257.72,81.96,39.54,0.99,67.69,0.00,0.00,0.00
2024/08/08/ 14:24:33::231,304,0,0,0,0,-0.26,-0.03,10.12,172.94,254.31,82.91,39.55,0.99,67.18,0.00,0.00,0.00
2024/08/08/ 14:24:34::278,305,0,0,0,0,-0.23,-0.01,10.12,173.71,250.76,83.93,39.56,0.99,67.70,0.00,0.00,0.00
2024/08/08/ 14:24:35::266,306,0,0,0,0,-0.27,-0.02,10.12,174.52,247.29,84.83,39.56,0.99,68.98,0.00,0.00,0.00
2024/08/08/ 14:24:36::267,307,0,0,0,0,-0.27,-0.01,10.13,175.39,243.83,85.82,39.57,0.99,68.13,0.00,0.00,0.00
2024/08/08/ 14:24:37::244,308,0,0,0,0,-0.27,-0.01,10.13,176.47,240.35,86.78,39.59,0.99,67.88,0.00,0.00,0.00
2024/08/08/ 14:24:38::255,309,0,0,0,0,-0.26,-0.01,10.12,177.53,236.81,87.79,39.59,0.99,68.05,0.00,0.00,0.00
2024/08/08/ 14:24:39::241,310,0,0,0,0,-0.26,-0.01,10.12,178.54,233.32,88.99,39.61,0.99,68.06,0.00,0.00,0.00
2024/08/08/ 14:24:40::257,311,0,0,0,0,-0.27,-0.00,10.13,180.48,226.19,90.73,39.63,0.99,68.15,0.00,0.00,0.00
2024/08/08/ 14:24:41::277,312,0,0,0,0,-0.26,0.00,10.13,181.39,222.77,91.52,39.62,0.99,67.55,0.00,0.00,0.00
2024/08/08/ 14:24:42::266,313,0,0,0,0,-0.26,-0.01,10.12,182.42,219.17,92.41,39.62,0.99,67.55,0.00,0.00,0.00
