RX Date/Time,Packet Cnt(field 1),Status(field 2),IsCameraOn(field 3),IsMotorOn(field 4),IsBuzzerOn(field 5),Accelerometer X(field 6),Accelerometer Y(field 7),Accelerometer Z(field 8),Gyro X(field 9),Gyro Y(field 10),Gyro Z(field 11),Temperature(field 12),Pressure(field 13),Altitude(field 14),Latitude(field 15),Longitude(field 16),Altitude(field 17)
2024/08/08/ 14:19:39::012,10,0,0,0,0,-2.24,-9.77,0.59,349.25,344.16,358.96,37.12,0.99,68.09,0.00,0.00,0.00
2024/08/08/ 14:19:40::005,11,0,0,0,0,-2.47,-9.61,0.68,346.25,335.79,359.77,37.14,0.99,67.75,0.00,0.00,0.00
2024/08/08/ 14:19:41::003,12,0,0,0,0,-2.80,-9.39,1.46,349.35,328.16,357.08,37.13,0.99,67.92,0.00,0.00,0.00
2024/08/08/ 14:19:41::985,13,0,0,0,0,-2.71,-9.68,1.13,352.12,326.49,0.45,37.16,0.99,67.41,0.00,0.00,0.00
2024/08/08/ 14:19:42::996,14,0,0,0,0,-2.17,-9.36,1.83,352.79,321.44,4.29,37.17,0.99,67.93,0.00,0.00,0.00
2024/08/08/ 14:19:43::981,15,0,0,0,0,-1.65,-9.84,0.66,356.03,324.93,7.47,37.17,0.99,67.84,0.00,0.00,0.00
2024/08/08/ 14:19:44::989,16,0,0,0,0,-1.42,-9.84,0.29,356.27,321.20,9.34,37.18,0.99,67.59,0.00,0.00,0.00
2024/08/08/ 14:19:45::993,17,0,0,0,0,-1.72,-9.80,0.17,357.72,319.87,7.94,37.20,0.99,68.02,0.00,0.00,0.00
2024/08/08/ 14:19:47::014,18,0,0,0,0,-2.51,-9.69,-0.86,355.18,319.97,1.54,37.21,0.99,68.11,0.00,0.00,0.00
2024/08/08/ 14:19:48::015,19,0,0,0,0,-4.63,-8.70,-1.81,342.24,310.73,351.00,37.22,0.99,68.02,0.00,0.00,0.00
2024/08/08/ 14:19:48::990,20,0,0,0,0,-4.16,-8.73,-1.73,337.43,305.48,352.34,37.22,0.99,67.51,0.00,0.00,0.00
2024/08/08/ 14:19:50::001,21,0,0,0,0,-4.14,-8.23,-3.00,336.47,315.34,355.83,37.23,0.99,68.11,0.00,0.00,0.00
2024/08/08/ 14:19:51::014,22,0,0,0,0,-3.17,-6.99,-6.41,327.45,324.13,355.32,37.25,0.99,68.12,0.00,0.00,0.00
2024/08/08/ 14:19:51::998,23,0,0,0,0,-2.66,-6.83,-6.51,327.32,321.99,359.46,37.24,0.99,67.94,0.00,0.00,0.00
2024/08/08/ 14:19:52::986,24,0,0,0,0,-2.39,-6.95,-6.57,327.56,319.04,0.42,37.20,0.99,67.34,0.00,0.00,0.00
2024/08/08/ 14:19:53::995,25,0,0,0,0,-2.46,-7.07,-6.35,328.86,313.23,1.23,37.21,0.99,67.85,0.00,0.00,0.00
2024/08/08/ 14:19:55::014,26,0,0,0,0,-2.27,-6.75,-6.86,327.79,315.42,2.73,37.21,0.99,67.85,0.00,0.00,0.00
2024/08/08/ 14:19:56::008,27,0,0,0,0,-2.30,-6.69,-6.81,328.72,308.09,3.73,37.18,0.99,67.42,0.00,0.00,0.00
2024/08/08/ 14:19:57::011,28,0,0,0,0,-2.62,-6.47,-6.89,331.64,303.07,3.64,37.16,0.99,68.01,0.00,0.00,0.00
2024/08/08/ 14:19:58::006,29,0,0,0,0,-2.13,-5.86,-7.56,328.72,304.80,3.65,37.19,0.99,66.82,0.00,0.00,0.00
2024/08/08/ 14:19:59::006,30,0,0,0,0,-2.68,-5.21,-7.75,330.23,303.40,357.98,37.14,0.99,67.67,0.00,0.00,0.00
2024/08/08/ 14:20:00::027,31,0,0,0,0,-2.74,-5.42,-7.76,330.33,296.32,358.82,37.12,0.99,67.75,0.00,0.00,0.00
2024/08/08/ 14:20:01::018,32,0,0,0,0,-2.76,-6.70,-6.70,333.14,282.65,0.09,37.04,0.99,67.22,0.00,0.00,0.00
2024/08/08/ 14:20:02::017,33,0,0,0,0,-2.64,-7.72,-5.40,333.17,271.18,2.91,37.04,0.99,67.98,0.00,0.00,0.00
2024/08/08/ 14:20:03::006,34,0,0,0,0,-2.68,-8.22,-4.71,337.76,263.51,4.58,37.06,0.99,67.99,0.00,0.00,0.00
2024/08/08/ 14:20:04::020,35,0,0,0,0,-2.60,-8.41,-4.47,339.14,259.36,6.54,37.06,0.99,67.99,0.00,0.00,0.00
2024/08/08/ 14:20:05::001,36,0,0,0,0,-2.43,-8.47,-4.53,340.00,252.40,9.08,37.03,0.99,67.90,0.00,0.00,0.00
2024/08/08/ 14:20:06::016,37,0,0,0,0,-2.42,-8.43,-4.56,341.41,248.90,9.78,37.03,0.99,67.90,0.00,0.00,0.00
2024/08/08/ 14:20:07::011,38,0,0,0,0,-2.54,-8.39,-4.53,343.81,245.08,10.25,37.02,0.99,67.38,0.00,0.00,0.00
2024/08/08/ 14:20:08::029,39,0,0,0,0,-2.40,-8.61,-4.23,343.12,239.67,12.24,36.99,0.99,67.89,0.00,0.00,0.00
2024/08/08/ 14:20:09::015,40,0,0,0,0,0.52,-8.67,-4.38,334.69,236.17,28.77,37.00,0.99,68.40,0.00,0.00,0.00
2024/08/08/ 14:20:10::011,41,0,0,0,0,0.93,-8.63,-4.49,335.06,233.88,30.97,36.98,0.99,68.48,0.00,0.00,0.00
2024/08/08/ 14:20:11::027,42,0,0,0,0,0.01,-8.85,-4.31,336.50,228.38,25.93,36.99,0.99,68.15,0.00,0.00,0.00
2024/08/08/ 14:20:12::012,43,0,0,0,0,-0.37,-8.56,-4.44,340.12,230.73,25.64,36.99,0.99,68.15,0.00,0.00,0.00
2024/08/08/ 14:20:13::026,44,0,0,0,0,0.05,-7.62,-6.12,348.25,230.59,35.09,36.99,0.99,68.15,0.00,0.00,0.00
2024/08/08/ 14:20:14::010,45,0,0,0,0,-0.29,-7.59,-6.13,355.25,226.04,38.37,36.99,0.99,68.15,0.00,0.00,0.00
2024/08/08/ 14:20:15::034,46,0,0,0,0,-0.92,-8.38,-4.85,2.59,209.21,36.88,36.99,0.99,68.15,0.00,0.00,0.00
2024/08/08/ 14:20:16::044,47,0,0,0,0,-0.73,-9.70,-2.18,10.27,192.79,43.77,36.94,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:20:17::029,48,0,0,0,0,-1.07,-9.86,-0.05,15.95,180.69,41.60,36.95,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:20:18::022,49,0,0,0,0,-1.47,-9.82,-0.26,18.98,176.97,41.51,36.95,0.99,66.60,0.00,0.00,0.00
2024/08/08/ 14:20:19::018,50,0,0,0,0,-0.57,-9.93,-0.31,18.23,174.15,48.79,36.95,0.99,67.88,0.00,0.00,0.00
2024/08/08/ 14:20:20::021,51,0,0,0,0,-0.79,-9.89,-0.57,20.19,172.19,47.54,36.95,0.99,67.20,0.00,0.00,0.00
2024/08/08/ 14:20:21::017,52,0,0,0,0,0.11,-9.90,-0.95,23.89,170.36,56.02,36.95,0.99,67.28,0.00,0.00,0.00
2024/08/08/ 14:20:22::018,53,0,0,0,0,2.61,-9.59,-0.99,26.36,163.09,72.11,36.96,0.99,67.03,0.00,0.00,0.00
2024/08/08/ 14:20:23::015,54,0,0,0,0,3.07,-9.23,-0.88,26.00,159.86,76.36,36.87,0.99,67.69,0.00,0.00,0.00
2024/08/08/ 14:20:24::033,55,0,0,0,0,3.41,-9.23,-1.36,27.59,157.80,80.32,36.82,0.99,67.68,0.00,0.00,0.00
2024/08/08/ 14:20:25::020,56,0,0,0,0,3.56,-8.99,-1.16,28.53,154.02,83.36,36.79,0.99,66.83,0.00,0.00,0.00
2024/08/08/ 14:20:26::022,57,0,0,0,0,3.97,-9.01,-0.72,27.45,152.10,87.67,36.79,0.99,67.68,0.00,0.00,0.00
2024/08/08/ 14:20:27::012,58,0,0,0,0,4.42,-8.29,-1.99,23.74,146.21,88.74,36.64,0.99,66.97,0.00,0.00,0.00
2024/08/08/ 14:20:28::029,59,0,0,0,0,4.93,-8.23,-1.20,30.92,143.27,91.30,36.58,0.99,66.79,0.00,0.00,0.00
2024/08/08/ 14:20:29::018,60,0,0,0,0,3.82,-9.01,0.56,25.49,130.40,85.81,36.53,0.99,66.01,0.00,0.00,0.00
2024/08/08/ 14:20:30::004,61,0,0,0,0,3.73,-9.14,0.30,28.47,128.62,86.70,36.58,0.99,66.53,0.00,0.00,0.00
2024/08/08/ 14:20:31::027,62,0,0,0,0,3.63,-8.82,0.62,26.32,119.36,92.25,36.55,0.99,66.44,0.00,0.00,0.00
2024/08/08/ 14:20:32::015,63,0,0,0,0,4.82,-8.64,1.24,26.77,113.05,97.93,36.55,0.99,66.44,0.00,0.00,0.00
2024/08/08/ 14:20:32::990,64,0,0,0,0,4.66,-8.63,1.50,27.57,108.32,96.03,36.55,0.99,66.44,0.00,0.00,0.00
2024/08/08/ 14:20:34::004,65,0,0,0,0,3.03,-9.43,0.62,31.58,106.71,84.40,36.55,0.99,66.44,0.00,0.00,0.00
2024/08/08/ 14:20:34::993,66,0,0,0,0,-1.17,-9.90,0.66,35.25,101.73,54.68,36.55,0.99,66.44,0.00,0.00,0.00
2024/08/08/ 14:20:35::994,67,0,0,0,0,-4.28,-9.10,0.55,37.19,100.70,44.82,36.53,0.99,66.78,0.00,0.00,0.00
2024/08/08/ 14:20:36::996,68,0,0,0,0,-7.92,-5.92,0.93,36.80,95.53,13.18,36.55,0.99,67.04,0.00,0.00,0.00
2024/08/08/ 14:20:37::995,69,0,0,0,0,-8.86,-4.65,0.51,35.26,90.89,9.89,36.57,0.99,66.27,0.00,0.00,0.00
2024/08/08/ 14:20:38::971,70,0,0,0,0,-8.91,-4.73,0.50,36.61,87.25,11.48,36.59,0.99,67.04,0.00,0.00,0.00
2024/08/08/ 14:20:39::988,71,0,0,0,0,-8.86,-4.76,0.51,38.56,80.06,13.53,36.61,0.99,66.96,0.00,0.00,0.00
2024/08/08/ 14:20:40::994,72,0,0,0,0,-8.78,-4.81,0.59,39.39,76.36,14.51,36.64,0.99,66.46,0.00,0.00,0.00
2024/08/08/ 14:20:42::002,73,0,0,0,0,-8.94,-4.76,0.49,39.98,72.77,14.45,36.64,0.99,66.46,0.00,0.00,0.00
2024/08/08/ 14:20:42::994,74,0,0,0,0,-9.02,-4.44,0.43,40.60,68.90,14.43,36.67,0.99,65.86,0.00,0.00,0.00
